Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Bicapite,[KNa_2_Mg_2_(H_2_O)_25_][H_2_PV^5+^_12_O_40_(V^5+^O)_2_],K Na Mg H O P V^5+,K Na Mg H O P V^5+,K Na Mg H O P V,K Na Mg H O P V^5+,valid,,,
Bicchulite,Ca_2_Al_2_SiO_6_(OH)_2_,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,valid,,,
Bideauxite,Ag^1+^Pb^2+^_2_F_2_Cl_3_,Ag^1+ Pb^2+ F Cl,Ag^1+ Pb^2+ F Cl,Ag Pb F Cl,Ag^1+ Pb^2+ F Cl,valid,,,
Bieberite,Co^2+^S^6+^O_4_·7H_2_O,Co^2+ S^6+ O H,Co^2+ S^6+ O H,Co S O H,Co^2+ S^6+ O H,valid,,,
Biehlite,Sb^3+^_2_Mo^6+^O_6_,Sb^3+ Mo^6+ O,Sb^3+ Mo^6+ O,Sb Mo O,Sb^3+ Mo^6+ O,valid,,,
Bigcreekite,BaSi_2_O_5_·4H_2_O,Ba Si O H,Ba Si O H,Ba Si O H,Ba Si O H,valid,,,
Bijvoetite-(Y),Y_8_(U^6+^O_2_)_16_O_8_(CO_3_)_16_(OH)_8_·39H_2_O,Y U^6+ O C H,Y U^6+ O C H,Y U O C H,Y U^6+ O C H,valid,,,
Bikitaite,LiAlSi_2_O_6_·H_2_O,Li Al Si O H,Li Al Si O H,Li Al Si O H,Li Al Si O H,valid,,,
Bilibinskite,PbAu_3_Cu_2_Te_2_,Pb Au Cu Te,Pb Au Cu Te,Pb Au Cu Te,Pb Au Cu Te,valid,,,
Bílinite,Fe^2+^Fe^3+^_2_(S^6+^O_4_)_4_·22H_2_O,Fe^2+ Fe^3+ S^6+ O H,Fe^2+ Fe^3+ S^6+ O H,Fe S O H,Fe^2+ Fe^3+ S^6+ O H,valid,,,
Billietite,Ba(U^6+^O_2_)_6_O_4_(OH)_6_·8H_2_O,Ba U^6+ O H,Ba U^6+ O H,Ba U O H,Ba U^6+ O H,valid,,,
Billingsleyite,Ag_7_AsS_6_,Ag As S,Ag As S,Ag As S,Ag As S,valid,,,
Billwiseite,Sb^3+^_5_Nb^5+^_3_W^6+^O_18_,Sb^3+ Nb^5+ W^6+ O,Sb^3+ Nb^5+ W^6+ O,Sb Nb W O,Sb^3+ Nb^5+ W^6+ O,valid,,,
Bimbowrieite,NaMgFe^3+^_5_(PO_4_)_4_(OH)_6_·2H_2_O,Na Mg Fe^3+ P O H,Na Mg Fe^3+ P O H,Na Mg Fe P O H,Na Mg Fe^3+ P O H,valid,,,
Bindheimite,Pb^2+^_2_Sb^5+^_2_O_7_,Pb^2+ Sb^5+ O,Pb^2+ Sb^5+ O,Pb Sb O,Pb^2+ Sb^5+ O,valid,,,
Biphosphammite,H_2_(N^3-^H_4_)PO_4_,H N^3- P O,H N^3- P O,H N P O,H N^3- P O,valid,,,
Biraite-(Ce),Ce^3+^_2_Fe^2+^Si_2_O_7_(CO_3_),Ce^3+ Fe^2+ Si O C,Ce^3+ Fe^2+ Si O C,Ce Fe Si O C,Ce^3+ Fe^2+ Si O C,valid,,,
Biraite-(La),La_2_Fe^2+^(CO_3_)(Si_2_O_7_),La Fe^2+ C O Si,La Fe^2+ C O Si,La Fe C O Si,La Fe^2+ C O Si,valid,,,
Birchite,Cd^2+^_2_Cu^2+^_2_(PO_4_)_2_S^6+^O_4_·5H_2_O,Cd^2+ Cu^2+ P O S^6+ H,Cd^2+ Cu^2+ P O S^6+ H,Cd Cu P O S H,Cd^2+ Cu^2+ P O S^6+ H,valid,,,
Biringuccite,Na_2_B_5_O_8_(OH)·H_2_O,Na B O H,Na B O H,Na B O H,Na B O H,valid,,,
Birnessite,"(Na,Ca,K)_0.6_(Mn^4+^,Mn^3+^)_2_O_4_·1.5H_2_O",Na Ca K Mn^4+ Mn^3+ O H,Na Ca K Mn^4+ Mn^3+ O H,Na Ca K Mn O H,Na Ca K Mn^4+ Mn^3+ O H,valid,,,
Birunite,Ca_18_(SiO_3_)_8.5_(CO_3_)_8.5_S^6+^O_4_·15H_2_O,Ca Si O C S^6+ H,Ca Si O C S^6+ H,Ca Si O C S H,Ca Si O C S^6+ H,valid,,,
Bischofite,MgCl_2_·6H_2_O,Mg Cl H O,Mg Cl H O,Mg Cl H O,Mg Cl H O,valid,,,
Bismite,Bi^3+^_2_O_3_,Bi^3+ O,Bi^3+ O,Bi O,Bi^3+ O,valid,,,
Bismoclite,Bi^3+^OCl,Bi^3+ O Cl,Bi^3+ O Cl,Bi O Cl,Bi^3+ O Cl,valid,,,
Bismuth,Bi,Bi,Bi,Bi,Bi,valid,,,
Bismuthinite,Bi^3+^_2_S^2-^_3_,Bi^3+ S^2-,Bi^3+ S^2-,Bi S,Bi^3+ S^2-,valid,,,
Bismutite,Bi^3+^_2_O_2_(CO_3_),Bi^3+ O C,Bi^3+ O C,Bi O C,Bi^3+ O C,valid,,,
Bismutocolumbite,Bi^3+^Nb^5+^O_4_,Bi^3+ Nb^5+ O,Bi^3+ Nb^5+ O,Bi Nb O,Bi^3+ Nb^5+ O,valid,,,
Bismutoferrite,Fe^3+^_2_Bi^3+^(SiO_4_)_2_(OH),Fe^3+ Bi^3+ Si O H,Fe^3+ Bi^3+ Si O H,Fe Bi Si O H,Fe^3+ Bi^3+ Si O H,valid,,,
Bismutohauchecornite,Ni_9_Bi_2_S_8_,Ni Bi S,Ni Bi S,Ni Bi S,Ni Bi S,valid,,,
Bismutostibiconite,"(Bi^3+^,Fe^3+^,[box])_2_Sb^5+^_2_O_7_",Bi^3+ Fe^3+ Sb^5+ O,Bi^3+ Fe^3+ Sb^5+ O,Bi Fe Sb O,Bi^3+ Fe^3+ Sb^5+ O,valid,,,
Bismutotantalite,Bi^3+^Ta^5+^O_4_,Bi^3+ Ta^5+ O,Bi^3+ Ta^5+ O,Bi Ta O,Bi^3+ Ta^5+ O,valid,,,
Bitikleite,Ca_3_Sn^4+^Sb^5+^Al_3_O_12_,Ca Sn^4+ Sb^5+ Al O,Ca Sn^4+ Sb^5+ Al O,Ca Sn Sb Al O,Ca Sn^4+ Sb^5+ Al O,valid,,,
Bityite,CaLiAl_2_(Si_2_BeAl)O_10_(OH)_2_,Ca Li Al Si Be O H,Ca Li Al Si Be O H,Ca Li Al Si Be O H,Ca Li Al Si Be O H,valid,,,
Bixbyite-(Fe),Fe^3+^_2_O_3_,Fe^3+ O,Fe^3+ O,Fe O,Fe^3+ O,valid,,,
Bixbyite-(Mn),Mn^3+^_2_O_3_,Mn^3+ O,Mn^3+ O,Mn O,Mn^3+ O,valid,,,
Bjarebyite,BaMn^2+^_2_Al_2_(PO_4_)_3_(OH)_3_,Ba Mn^2+ Al P O H,Ba Mn^2+ Al P O H,Ba Mn Al P O H,Ba Mn^2+ Al P O H,valid,,,
Blakeite,Fe^3+^_2_(Te^4+^O_3_)_3_,Fe^3+ Te^4+ O,Fe^3+ Te^4+ O,Fe Te O,Fe^3+ Te^4+ O,valid,,,
Blatonite,(U^6+^O_2_)CO_3_·H_2_O,U^6+ O C H,U^6+ O C H,U O C H,U^6+ O C H,valid,,,
Blatterite,Sb^5+^_3_Mn^3+^_9_Mn^2+^_35_(BO_3_)_16_O_32_,Sb^5+ Mn^3+ Mn^2+ B O,Sb^5+ Mn^3+ Mn^2+ B O,Sb Mn B O,Sb^5+ Mn^3+ Mn^2+ B O,valid,,,
Bleasdaleite,"Ca_2_Cu^2+^_5_(Bi^3+^,Cu^2+^)(PO_4_)_4_(H_2_O,OH,Cl)_13_",Ca Cu^2+ Bi^3+ P O H Cl,Ca Cu^2+ Bi^3+ P O H Cl,Ca Cu Bi P O H Cl,Ca Cu^2+ Bi^3+ P O H Cl,valid,,,
Blixite,Pb^2+^_8_O_5_(OH)_2_Cl_4_,Pb^2+ O H Cl,Pb^2+ O H Cl,Pb O H Cl,Pb^2+ O H Cl,valid,,,
Blödite,Na_2_Mg(S^6+^O_4_)_2_·4H_2_O,Na Mg S^6+ O H,Na Mg S^6+ O H,Na Mg S O H,Na Mg S^6+ O H,valid,,,
Blossite,Cu^2+^_2_V^5+^_2_O_7_,Cu^2+ V^5+ O,Cu^2+ V^5+ O,Cu V O,Cu^2+ V^5+ O,valid,,,
Bluebellite,Cu^2+^_6_(I^5+^O_3_)(OH)_10_Cl,Cu^2+ I^5+ O H Cl,Cu^2+ I^5+ O H Cl,Cu I O H Cl,Cu^2+ I^5+ O H Cl,valid,,,
Bluelizardite,Na_7_(U^6+^O_2_)(S^6+^O_4_)_4_Cl·2H_2_O,Na U^6+ O S^6+ Cl H,Na U^6+ O S^6+ Cl H,Na U O S Cl H,Na U^6+ O S^6+ Cl H,valid,,,
Blueridgeite,[Pb^2+^_8_Zn^2+^_3_Cu^2+^(OH)_16_](S^6+^O_4_)_2_(S^6+^O_3_S^2-^)_2_·2H_2_O,Pb^2+ Zn^2+ Cu^2+ O H S^6+ S^2-,Pb^2+ Zn^2+ Cu^2+ O H S^6+ S^2-,Pb Zn Cu O H S,Pb^2+ Zn^2+ Cu^2+ O H S^6+ S^2-,valid,,,
Bluestreakite,K_4_Mg_2_[(V^4+^_2_V^5+^_8_)O_28_]·14H_2_O,K Mg V^4+ V^5+ O H,K Mg V^4+ V^5+ O H,K Mg V O H,K Mg V^4+ V^5+ O H,valid,,,
Bobcookite,NaAl(U^6+^O_2_)_2_(S^6+^O_4_)_4_·18H_2_O,Na Al U^6+ O S^6+ H,Na Al U^6+ O S^6+ H,Na Al U O S H,Na Al U^6+ O S^6+ H,valid,,,
Bobfergusonite,[box]Na_2_Mn^2+^_5_Fe^3+^Al(PO_4_)_6_,Na Mn^2+ Fe^3+ Al P O,Na Mn^2+ Fe^3+ Al P O,Na Mn Fe Al P O,Na Mn^2+ Fe^3+ Al P O,valid,,,
Bobfinchite,Na[(U^6+^O_2_)_8_O_3_(OH)_11_]·10H_2_O,Na U^6+ O H,Na U^6+ O H,Na U O H,Na U^6+ O H,valid,,,
Bobierrite,Mg_3_(PO_4_)_2_·8H_2_O,Mg P O H,Mg P O H,Mg P O H,Mg P O H,valid,,,
Bobjonesite,V^4+^OS^6+^O_4_·3H_2_O,V^4+ O S^6+ H,V^4+ O S^6+ H,V O S H,V^4+ O S^6+ H,valid,,,
Bobkingite,Cu^2+^_5_Cl_2_(OH)_8_·2H_2_O,Cu^2+ Cl O H,Cu^2+ Cl O H,Cu Cl O H,Cu^2+ Cl O H,valid,,,
Bobmeyerite,Pb^2+^_4_(Al_3_Cu^2+^)(Si_4_O_12_)(S^6+^_0.5_Si_0.5_O_4_)(OH)_7_Cl·3H_2_O,Pb^2+ Al Cu^2+ Si O S^6+ H Cl,Pb^2+ Al Cu^2+ Si O S^6+ H Cl,Pb Al Cu Si O S H Cl,Pb^2+ Al Cu^2+ Si O S^6+ H Cl,valid,,,
Bobshannonite,"Na_2_KBa(Mn^2+^,Na)_8_(Nb^5+^,Ti^4+^)_4_(Si_2_O_7_)_4_O_4_(OH)_4_(O,F)_2_",Na K Ba Mn^2+ Nb^5+ Ti^4+ Si O H F,Na K Ba Mn^2+ Nb^5+ Ti^4+ Si O H F,Na K Ba Mn Nb Ti Si O H F,Na K Ba Mn^2+ Nb^5+ Ti^4+ Si O H F,valid,,,
Bobtraillite,"(Na,[box])_12_([box],Na)_12_Sr_12_Zr^4+^_14_(Si_3_O_9_)_10_[Si_2_BO_7_(OH)_2_]_6_·12H_2_O",Na Sr Zr^4+ Si O B H,Na Sr Zr^4+ Si O B H,Na Sr Zr Si O B H,Na Sr Zr^4+ Si O B H,valid,,,
Bodieite,Bi^3+^_2_(Te^4+^O_3_)_2_(S^6+^O_4_),Bi^3+ Te^4+ O S^6+,Bi^3+ Te^4+ O S^6+,Bi Te O S,Bi^3+ Te^4+ O S^6+,valid,,,
Boevskite,Pb^2+^_4_(Te^4+^O_3_)_2_(S^6+^O_4_)(S^6+^O_3_S^2-^),Pb^2+ Te^4+ O S^6+ S^2-,Pb^2+ Te^4+ O S^6+ S^2-,Pb Te O S,Pb^2+ Te^4+ O S^6+ S^2-,valid,,,
Bogdanovite,"(Au,Te,Pb)_3_(Cu,Fe)",Au Te Pb Cu Fe,Au Te Pb Cu Fe,Au Te Pb Cu Fe,Au Te Pb Cu Fe,valid,,,
Bøggildite,Na_2_Sr_2_Al_2_(PO_4_)F_9_,Na Sr Al P O F,Na Sr Al P O F,Na Sr Al P O F,Na Sr Al P O F,valid,,,
Boggsite,Na_3_Ca_8_(Si_77_Al_19_)O_192_·70H_2_O,Na Ca Si Al O H,Na Ca Si Al O H,Na Ca Si Al O H,Na Ca Si Al O H,valid,,,
Bøgvadite,Na_2_Ba_2_SrAl_4_F_20_,Na Ba Sr Al F,Na Ba Sr Al F,Na Ba Sr Al F,Na Ba Sr Al F,valid,,,
Bohdanowiczite,Ag^1+^Bi^3+^Se^2-^_2_,Ag^1+ Bi^3+ Se^2-,Ag^1+ Bi^3+ Se^2-,Ag Bi Se,Ag^1+ Bi^3+ Se^2-,valid,,,
Böhmite,AlO(OH),Al O H,Al O H,Al O H,Al O H,valid,,,
Bohseite,Ca_4_Be_3+x_Al_1-x_Si_9_O_25-x_(OH)_3+x_ (x = 0 to 1),Ca Be Al Si O H,Ca Be Al Si O H,Ca Be Al Si O H,Ca Be Al Si O H,valid,,,
Bohuslavite,Fe^3+^_4_(PO_4_)_3_(S^6+^O_4_)(OH)·nH_2_O (15≤n≤24),Fe^3+ P O S^6+ H,Fe^3+ P O S^6+ H,Fe P O S H,Fe^3+ P O S^6+ H,valid,,,
Bojarite,Cu^2+^_3_(N_3_C_2_H_2_)^1-^_3_(OH)Cl_2_·6H_2_O,Cu^2+ N C H O Cl,Cu^2+ N C H O Cl,Cu N C H O Cl,Cu^2+ N C H O Cl,valid,,,
Bokite,"(Al,Fe^3+^)_1.3_(V^5+^,V^4+^,Fe^3+^)_8_O_20_·7.5H_2_O",Al Fe^3+ V^5+ V^4+ O H,Al Fe^3+ V^5+ V^4+ O H,Al Fe V O H,Al Fe^3+ V^5+ V^4+ O H,valid,,,
Boleite,KAg^1+^_9_Pb^2+^_26_Cu^2+^_24_Cl_62_(OH)_48_,K Ag^1+ Pb^2+ Cu^2+ Cl O H,K Ag^1+ Pb^2+ Cu^2+ Cl O H,K Ag Pb Cu Cl O H,K Ag^1+ Pb^2+ Cu^2+ Cl O H,valid,,,
Bolivarite,Al_2_PO_4_(OH)_3_·4H_2_O,Al P O H,Al P O H,Al P O H,Al P O H,valid,,,
Bolotinaite,(Na_7_[box])(Al_6_Si_6_O_24_)F·4H_2_O,Na Al Si O F H,Na Al Si O F H,Na Al Si O F H,Na Al Si O F H,valid,,,
Boltwoodite,K_0.63_Na_0.37_[(U^6+^O_2_)(SiO_3_OH)](H_2_O)_1.5_,K Na U^6+ O Si H,K Na U^6+ O Si H,K Na U O Si H,K Na U^6+ O Si H,valid,,,
Bonaccordite,Ni^2+^_2_Fe^3+^O_2_(BO_3_),Ni^2+ Fe^3+ O B,Ni^2+ Fe^3+ O B,Ni Fe O B,Ni^2+ Fe^3+ O B,valid,,,
Bonaccorsiite,KK_2_Na_3_(Al_6_Si_36_)O_84_,K Na Al Si O,K Na Al Si O,K Na Al Si O,K Na Al Si O,valid,,,
Bonacinaite,Sc(As^5+^O_4_)·2H_2_O,Sc As^5+ O H,Sc As^5+ O H,Sc As O H,Sc As^5+ O H,valid,,,
Bonattite,Cu^2+^S^6+^O_4_·3H_2_O,Cu^2+ S^6+ O H,Cu^2+ S^6+ O H,Cu S O H,Cu^2+ S^6+ O H,valid,,,
Bonazziite,As_4_S_4_,As S,As S,As S,As S,valid,,,
Bonshtedtite,Na_3_Fe^2+^(PO_4_)(CO_3_),Na Fe^2+ P O C,Na Fe^2+ P O C,Na Fe P O C,Na Fe^2+ P O C,valid,,,
Boojumite,Pb^2+^_8_O_4_(OH)_2_(S^6+^O_3_S^2-^)_3_,Pb^2+ O H S^6+ S^2-,Pb^2+ O H S^6+ S^2-,Pb O H S,Pb^2+ O H S^6+ S^2-,valid,,,
Boothite,Cu^2+^S^6+^O_4_·7H_2_O,Cu^2+ S^6+ O H,Cu^2+ S^6+ O H,Cu S O H,Cu^2+ S^6+ O H,valid,,,
Boracite,Mg_3_B_7_O_13_Cl,Mg B O Cl,Mg B O Cl,Mg B O Cl,Mg B O Cl,valid,,,
Boralsilite,Al_16_B_6_O_30_(Si_2_O_7_),Al B O Si,Al B O Si,Al B O Si,Al B O Si,valid,,,
Borax,Na_2_B_4_O_5_(OH)_4_·8H_2_O,Na B O H,Na B O H,Na B O H,Na B O H,valid,,,
Borcarite,Ca_4_MgB_4_O_6_(CO_3_)_2_(OH)_6_,Ca Mg B O C H,Ca Mg B O C H,Ca Mg B O C H,Ca Mg B O C H,valid,,,
Borisenkoite,Cu^2+^_3_(V^5+^O_4_)_2_,Cu^2+ V^5+ O,Cu^2+ V^5+ O,Cu V O,Cu^2+ V^5+ O,valid,,,
Bornemanite,Na_6_(Na[box])Ba_2_Ti^4+^_2_Nb^5+^_2_(Na_5_[box])Ti^4+^_2_(Si_2_O_7_)_4_(PO_4_)_2_O_4_(OH)_2_F_2_,Na Ba Ti^4+ Nb^5+ Si O P H F,Na Ba Ti^4+ Nb^5+ Si O P H F,Na Ba Ti Nb Si O P H F,Na Ba Ti^4+ Nb^5+ Si O P H F,valid,,,
Bornhardtite,Co^2+^Co^3+^_2_Se^2-^_4_,Co^2+ Co^3+ Se^2-,Co^2+ Co^3+ Se^2-,Co Se,Co^2+ Co^3+ Se^2-,valid,,,
Bornite,Cu^1+^_5_Fe^3+^S^2-^_4_,Cu^1+ Fe^3+ S^2-,Cu^1+ Fe^3+ S^2-,Cu Fe S,Cu^1+ Fe^3+ S^2-,valid,,,
Borocookeite,LiAl_4_(Si_3_B)O_10_(OH)_8_,Li Al Si B O H,Li Al Si B O H,Li Al Si B O H,Li Al Si B O H,valid,,,
Borodaevite,"Ag_4.83_Fe_0.21_Pb_0.45_(Bi,Sb)_8.84_S_16_",Ag Fe Pb Bi Sb S,Ag Fe Pb Bi Sb S,Ag Fe Pb Bi Sb S,Ag Fe Pb Bi Sb S,valid,,,
Boromullite,Al_9_BSi_2_O_19_,Al B Si O,Al B Si O,Al B Si O,Al B Si O,valid,,,
Boromuscovite,KAl_2_(Si_3_B)O_10_(OH)_2_,K Al Si B O H,K Al Si B O H,K Al Si B O H,K Al Si B O H,valid,,,
Borovskite,Pd_3_SbTe_4_,Pd Sb Te,Pd Sb Te,Pd Sb Te,Pd Sb Te,valid,,,
Bortnikovite,Pd_4_Cu_3_Zn,Pd Cu Zn,Pd Cu Zn,Pd Cu Zn,Pd Cu Zn,valid,,,
Bortolanite,Ca_2_(Ca_1.5_Zr^4+^_0.5_)Na(NaCa)Ti^4+^(Si_2_O_7_)_2_(OF)F_2_,Ca Zr^4+ Na Ti^4+ Si O F,Ca Zr^4+ Na Ti^4+ Si O F,Ca Zr Na Ti Si O F,Ca Zr^4+ Na Ti^4+ Si O F,valid,,,
Borzęckiite,Pb^2+^(U^6+^O_2_)_3_(Se^4+^O_3_)_2_O_2_·3H_2_O,Pb^2+ U^6+ O Se^4+ H,Pb^2+ U^6+ O Se^4+ H,Pb U O Se H,Pb^2+ U^6+ O Se^4+ H,valid,,,
Boscardinite,Tl^1+^Pb^2+^_4_(Sb^3+^_7_As^3+^_2_)S^2-^_18_,Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,Tl Pb Sb As S,Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,valid,,,
Bosiite,NaFe^3+^_3_(Al_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Na Fe^3+ Al Mg Si O B H,Na Fe^3+ Al Mg Si O B H,Na Fe Al Mg Si O B H,Na Fe^3+ Al Mg Si O B H,valid,,,
Bosoite,SiO_2_·nC_x_H_2x+2_,Si O C H,Si O C H,Si O C H,Si O C H,valid,,,
Bostwickite,CaMn^3+^_6_Si_3_O_16_·7H_2_O,Ca Mn^3+ Si O H,Ca Mn^3+ Si O H,Ca Mn Si O H,Ca Mn^3+ Si O H,valid,,,
Botallackite,Cu^2+^_2_Cl(OH)_3_,Cu^2+ Cl O H,Cu^2+ Cl O H,Cu Cl O H,Cu^2+ Cl O H,valid,,,
Botryogen,MgFe^3+^(S^6+^O_4_)_2_(OH)·7H_2_O,Mg Fe^3+ S^6+ O H,Mg Fe^3+ S^6+ O H,Mg Fe S O H,Mg Fe^3+ S^6+ O H,valid,,,
Bottinoite,Ni^2+^Sb^5+^_2_(OH)_12_·6H_2_O,Ni^2+ Sb^5+ O H,Ni^2+ Sb^5+ O H,Ni Sb O H,Ni^2+ Sb^5+ O H,valid,,,
Botuobinskite,SrFe^2+^(Ti^4+^_12_Cr^3+^_6_)Mg_2_[O_36_(OH)_2_],Sr Fe^2+ Ti^4+ Cr^3+ Mg O H,Sr Fe^2+ Ti^4+ Cr^3+ Mg O H,Sr Fe Ti Cr Mg O H,Sr Fe^2+ Ti^4+ Cr^3+ Mg O H,valid,,,
Bouazzerite,Bi^3+^_6_Mg_11_Fe^3+^_14_(As^5+^O_4_)_18_O_12_(OH)_4_(H_2_O)_86_,Bi^3+ Mg Fe^3+ As^5+ O H,Bi^3+ Mg Fe^3+ As^5+ O H,Bi Mg Fe As O H,Bi^3+ Mg Fe^3+ As^5+ O H,valid,,,
Boulangerite,Pb^2+^_5_Sb^3+^_4_S^2-^_11_,Pb^2+ Sb^3+ S^2-,Pb^2+ Sb^3+ S^2-,Pb Sb S,Pb^2+ Sb^3+ S^2-,valid,,,
Bounahasite,Cu^1+^Cu^2+^_2_(OH)_3_Cl_2_,Cu^1+ Cu^2+ O H Cl,Cu^1+ Cu^2+ O H Cl,Cu O H Cl,Cu^1+ Cu^2+ O H Cl,valid,,,
Bournonite,Cu^1+^Pb^2+^Sb^3+^S^2-^_3_,Cu^1+ Pb^2+ Sb^3+ S^2-,Cu^1+ Pb^2+ Sb^3+ S^2-,Cu Pb Sb S,Cu^1+ Pb^2+ Sb^3+ S^2-,valid,,,
Bouškaite,(Mo^6+^O_2_)_2_O(S^6+^O_3_OH)_2_(H_2_O)_2_·2H_2_O,Mo^6+ O S^6+ H,Mo^6+ O S^6+ H,Mo O S H,Mo^6+ O S^6+ H,valid,,,
Boussingaultite,(N^3-^H_4_)_2_Mg(S^6+^O_4_)_2_·6H_2_O,N^3- H Mg S^6+ O,N^3- H Mg S^6+ O,N H Mg S O,N^3- H Mg S^6+ O,valid,,,
Bowieite,Rh^3+^_2_S^2-^_3_,Rh^3+ S^2-,Rh^3+ S^2-,Rh S,Rh^3+ S^2-,valid,,,
Bowlesite,PtSnS,Pt Sn S,Pt Sn S,Pt Sn S,Pt Sn S,valid,,,
Boyleite,Zn^2+^S^6+^O_4_·4H_2_O,Zn^2+ S^6+ O H,Zn^2+ S^6+ O H,Zn S O H,Zn^2+ S^6+ O H,valid,,,
Braccoite,NaMn^2+^_5_[Si_5_O_14_(OH)](As^5+^O_3_OH),Na Mn^2+ Si O H As^5+,Na Mn^2+ Si O H As^5+,Na Mn Si O H As,Na Mn^2+ Si O H As^5+,valid,,,
Bracewellite,Cr^3+^O(OH),Cr^3+ O H,Cr^3+ O H,Cr O H,Cr^3+ O H,valid,,,
Brackebuschite,Pb^2+^_2_Mn^3+^(V^5+^O_4_)_2_(OH),Pb^2+ Mn^3+ V^5+ O H,Pb^2+ Mn^3+ V^5+ O H,Pb Mn V O H,Pb^2+ Mn^3+ V^5+ O H,valid,,,
Bradaczekite,NaCu^2+^Cu^2+^Cu^2+^_2_(As^5+^O_4_)_3_,Na Cu^2+ As^5+ O,Na Cu^2+ As^5+ O,Na Cu As O,Na Cu^2+ As^5+ O,valid,,,
Bradleyite,Na_3_Mg(PO_4_)(CO_3_),Na Mg P O C,Na Mg P O C,Na Mg P O C,Na Mg P O C,valid,,,
Braggite,PdPt_3_S_4_,Pd Pt S,Pd Pt S,Pd Pt S,Pd Pt S,valid,,,
Braithwaiteite,NaCu^2+^_5_(Ti^4+^Sb^5+^)O_2_(As^5+^O_4_)_4_[As^5+^O_3_(OH)]_2_·8H_2_O,Na Cu^2+ Ti^4+ Sb^5+ O As^5+ H,Na Cu^2+ Ti^4+ Sb^5+ O As^5+ H,Na Cu Ti Sb O As H,Na Cu^2+ Ti^4+ Sb^5+ O As^5+ H,valid,,,
Braitschite-(Ce),"Ca_6.15_Na_0.85_Ce^3+^_2_[B_6_O_7_(OH)_3_(O,OH)_3_]_4_·H_2_O",Ca Na Ce^3+ B O H,Ca Na Ce^3+ B O H,Ca Na Ce B O H,Ca Na Ce^3+ B O H,valid,,,
Branchite,C_20_H_34_,C H,C H,C H,C H,valid,,,
Brandãoite,BeAl_2_(PO_4_)_2_(OH)_2_(H_2_O)_4_·H_2_O,Be Al P O H,Be Al P O H,Be Al P O H,Be Al P O H,valid,,,
Brandholzite,MgSb^5+^_2_(OH)_12_·6H_2_O,Mg Sb^5+ O H,Mg Sb^5+ O H,Mg Sb O H,Mg Sb^5+ O H,valid,,,
Brandtite,Ca_2_Mn^2+^(As^5+^O_4_)_2_·2H_2_O,Ca Mn^2+ As^5+ O H,Ca Mn^2+ As^5+ O H,Ca Mn As O H,Ca Mn^2+ As^5+ O H,valid,,,
Brannerite,U^4+^Ti^4+^_2_O_6_,U^4+ Ti^4+ O,U^4+ Ti^4+ O,U Ti O,U^4+ Ti^4+ O,valid,,,
Brannockite,KSn^4+^_2_(Li_3_Si_12_)O_30_,K Sn^4+ Li Si O,K Sn^4+ Li Si O,K Sn Li Si O,K Sn^4+ Li Si O,valid,,,
Brassite,Mg(As^5+^O_3_OH)·4H_2_O,Mg As^5+ O H,Mg As^5+ O H,Mg As O H,Mg As^5+ O H,valid,,,
Brattforsite,Mn^2+^_19_As^3+^_12_O_36_Cl_2_,Mn^2+ As^3+ O Cl,Mn^2+ As^3+ O Cl,Mn As O Cl,Mn^2+ As^3+ O Cl,valid,,,
Braunerite,K_2_Ca(U^6+^O_2_)(CO_3_)_3_·6H_2_O,K Ca U^6+ O C H,K Ca U^6+ O C H,K Ca U O C H,K Ca U^6+ O C H,valid,,,
Braunite,Mn^2+^Mn^3+^_6_SiO_12_,Mn^2+ Mn^3+ Si O,Mn^2+ Mn^3+ Si O,Mn Si O,Mn^2+ Mn^3+ Si O,valid,,,
Brazilianite,NaAl_3_(PO_4_)_2_(OH)_4_,Na Al P O H,Na Al P O H,Na Al P O H,Na Al P O H,valid,,,
Bredigite,Ca_7_Mg(SiO_4_)_4_,Ca Mg Si O,Ca Mg Si O,Ca Mg Si O,Ca Mg Si O,valid,,,
Breithauptite,NiSb,Ni Sb,Ni Sb,Ni Sb,Ni Sb,valid,,,
Brendelite,"(Bi^3+^,Pb^2+^)_2_(Fe^3+^,Fe^2+^)O_2_(OH)PO_4_",Bi^3+ Pb^2+ Fe^3+ Fe^2+ O H P,Bi^3+ Pb^2+ Fe^3+ Fe^2+ O H P,Bi Pb Fe O H P,Bi^3+ Pb^2+ Fe^3+ Fe^2+ O H P,valid,,,
Brenkite,Ca_2_(CO_3_)F_2_,Ca C O F,Ca C O F,Ca C O F,Ca C O F,valid,,,
Brewsterite-Ba,Ba(Al_2_Si_6_)O_16_·5H_2_O,Ba Al Si O H,Ba Al Si O H,Ba Al Si O H,Ba Al Si O H,valid,,,
Brewsterite-Sr,Sr(Al_2_Si_6_)O_16_·5H_2_O,Sr Al Si O H,Sr Al Si O H,Sr Al Si O H,Sr Al Si O H,valid,,,
