source_index,target_index,neighbor_rank,distance
1861,885,1,0.30087786102598313
1861,2115,2,1.0790633507898115
1861,6201,3,1.1345979351353364
1861,880,4,1.1345979351353364
1861,4040,5,1.2079738551334926
1861,1665,6,1.7230559592629224
1861,2497,7,1.7593524479590965
1861,4106,8,1.8867610221797793
1861,2171,9,1.9127883420476222
1861,5686,10,1.9299723709265497
1862,1848,1,1.1660288466239563
1862,1847,2,1.2951425363807791
1862,5494,3,1.7329749327955208
1862,2172,4,1.8864665665051554
1862,2593,5,2.0956439475654927
1862,4732,6,2.0973804114823635
1862,5540,7,2.1014003314977954
1862,3852,8,2.1463245271558513
1862,4754,9,2.152980218502668
1862,130,10,2.1698124338327185
1863,3014,1,0.5086830537050574
1863,1496,2,0.5086830537050574
1863,5278,3,0.937635149867406
1863,4795,4,1.0289794766416243
1863,1866,5,1.0357500905561
1863,1044,6,1.1341098214208796
1863,247,7,1.1697291292147391
1863,1842,8,1.17279863935338
1863,6114,9,1.2055790314692996
1863,5344,10,1.2185517026412673
1864,3330,1,0.2606334364407674
1864,3350,2,0.33837491765887007
1864,4144,3,0.3434115960204569
1864,3489,4,0.35299644857664936
1864,1900,5,0.43157656671813494
1864,1074,6,0.461873998040623
1864,5749,7,0.46717968477067623
1864,677,8,0.47175759948277274
1864,5764,9,0.47259405338182714
1864,3337,10,0.4744637559182566
1865,1316,1,0.2146878603107412
1865,1870,2,0.2699566321282492
1865,1519,3,0.29779060412970204
1865,1895,4,0.32382518947140654
1865,1585,5,0.40088432714502553
1865,3182,6,0.4372271270768187
1865,4818,7,0.44471482976461535
1865,4151,8,0.6305370990228466
1865,4553,9,0.6386561295735349
1865,4145,10,0.6450486507023547
1866,1044,1,0.4619814249038154
1866,5278,2,0.6991310987158272
1866,247,3,0.9529028511371047
1866,6114,4,0.9934420030770991
1866,1863,5,1.0357500905561
1866,1853,6,1.111770802779823
1866,3014,7,1.1236255809268845
1866,1496,8,1.1236255809268845
1866,4461,9,1.166756774334912
1866,1852,10,1.2071187679521198
1867,5296,1,0.20666859484309186
1867,1931,2,0.27250841635901224
1867,4802,3,1.228055920389154
1867,6140,4,1.2579277326577027
1867,5805,5,1.3754962953527161
1867,4944,6,1.4192371733998903
1867,2776,7,1.4253609532405451
1867,5691,8,1.6382574107951524
1867,817,9,1.6395220494932772
1867,1050,10,1.6456302286392333
1868,1046,1,0.03935956403557269
1868,6054,2,0.648483679154138
1868,2750,3,0.9841232499280752
1868,1873,4,1.020112079632555
1868,1049,5,1.0209989176735605
1868,611,6,1.109451523587873
1868,2583,7,1.1902083135367492
1868,4555,8,1.2038720747736222
1868,2874,9,1.2354226385036593
1868,2763,10,1.2375479684131552
1869,1849,1,0.09146699079418644
1869,5017,2,0.5447919518773927
1869,2164,3,0.550462130178997
1869,769,4,0.6556640505912769
1869,1171,5,0.7273407482004216
1869,4097,6,0.728043390670555
1869,1541,7,0.768099287753078
1869,4809,8,0.8679810897459838
1869,6008,9,0.891163485270749
1869,478,10,0.8975723068495746
1870,1865,1,0.2699566321282492
1870,3182,2,0.29430924769964445
1870,1316,3,0.3391493433634111
1870,1519,4,0.344618697823881
1870,1895,5,0.3986926338467405
1870,4818,6,0.45667106813680514
1870,1585,7,0.47770044727996946
1870,4144,8,0.5640751122041081
1870,3489,9,0.5646551819082619
1870,4151,10,0.6306312750184901
1871,5863,1,0.10917717343549378
1871,5622,2,0.11437477660658937
1871,4905,3,0.5522322225581882
1871,4840,4,0.5565607424950263
1871,5199,5,0.6096680263963109
1871,2618,6,0.6395073291529046
1871,2666,7,0.6652356979784081
1871,4500,8,0.6730667811481958
1871,5168,9,0.6788382147622809
1871,4102,10,0.7392349514756955
1872,1894,1,0.15351329725217155
1872,3304,2,0.29889448194870516
1872,4729,3,0.33782769496906284
1872,5186,4,0.343733704700557
1872,3015,5,0.4607047293753071
1872,334,6,0.4876912847703093
1872,2841,7,0.49418236889393563
1872,2765,8,0.5018319899616888
1872,3210,9,0.5541942273146712
1872,3319,10,0.5751476076859086
1873,1049,1,0.043721807675504584
1873,611,2,0.6935854619523021
1873,2583,3,0.8014354234700943
1873,1569,4,0.8197601473982478
1873,5888,5,0.8278979008332256
1873,4555,6,0.9059849358534807
1873,2874,7,0.913765076870463
1873,1412,8,0.9230489855436452
1873,2457,9,0.9316376578204971
1873,2763,10,1.0107369286005359
1874,3909,1,1.1704595637707191
1874,5932,2,1.2567470414317785
1874,5813,3,1.352578065198737
1874,1173,4,1.3709423885151943
1874,641,5,1.3998263841365488
1874,5742,6,1.4196780436063532
1874,2646,7,1.4381794527183742
1874,837,8,1.4918036907096492
1874,4245,9,1.525245306310953
1874,2654,10,1.531016791540342
1875,4147,1,0.7334653672770752
